date,open,high,low,close,volume
2026-02-24,106.45,108.37,105.23,107.18,1403855
2026-02-25,106.73,109.06,105.92,107.56,1419271
2026-02-26,107.12,109.71,105.89,108.54,1433667
2026-02-27,108.13,110.59,106.88,109.49,1446865
2026-02-28,109.12,111.51,108.26,110.01,1458700
2026-03-01,109.70,112.09,108.51,110.84,1469033
2026-03-02,110.60,113.16,109.32,112.14,1477746
2026-03-03,111.98,114.60,111.05,113.12,1484746
2026-03-04,113.04,115.10,111.91,113.78,1489968
2026-03-05,113.79,115.80,112.50,114.89,1493374
2026-03-06,114.99,117.65,114.00,116.21,1494955
2026-03-07,116.40,118.38,115.32,117.00,1494729
2026-03-08,117.27,118.49,115.97,117.67,1492745
2026-03-09,118.00,120.21,116.94,118.81,1489076
2026-03-10,119.20,121.28,118.18,119.85,1483823
2026-03-11,120.27,121.18,118.98,120.30,1477113
2026-03-12,120.75,122.09,119.58,120.69,1469093
2026-03-13,121.14,122.93,120.19,121.46,1459932
2026-03-14,121.90,122.87,120.55,121.84,1449818
2026-03-15,122.24,123.51,120.54,121.71,1438951
2026-03-16,122.07,123.56,120.99,121.88,1427545
2026-03-17,122.17,123.29,120.91,122.22,1415822
2026-03-18,122.44,123.63,120.76,121.98,1421593
2026-03-19,122.11,123.61,120.64,121.45,1438870
2026-03-20,121.50,122.66,120.11,121.34,1455784
2026-03-21,121.30,122.41,119.91,121.16,1472114
2026-03-22,121.03,122.52,119.49,120.35,1487650
2026-03-23,120.14,121.38,118.36,119.55,1502193
2026-03-24,119.26,120.28,117.90,119.17,1515560
2026-03-25,118.82,120.30,117.57,118.49,1527585
2026-03-26,118.10,119.41,116.18,117.32,1538124
2026-03-27,116.88,117.81,115.14,116.43,1547058
2026-03-28,115.98,117.43,114.88,115.87,1554290
2026-03-29,115.42,116.80,113.76,114.85,1559751
2026-03-30,114.42,115.25,112.28,113.58,1563399
2026-03-31,113.19,114.60,111.76,112.82,1565221
2026-04-01,112.48,113.91,111.17,112.19,1565234
2026-04-02,111.92,112.79,109.78,111.07,1563479
2026-04-03,110.88,112.22,108.91,110.03,1560028
2026-04-04,109.91,111.38,108.60,109.56,1554979
2026-04-05,109.53,110.51,107.72,109.00,1548454
2026-04-06,109.07,110.35,106.89,108.05,1540598
2026-04-07,108.21,109.70,106.58,107.47,1531579
2026-04-08,107.71,108.78,106.14,107.40,1521580
2026-04-09,107.71,108.91,105.84,107.05,1510801
2026-04-10,107.41,108.91,105.67,106.49,1499454
2026-04-11,106.91,108.06,105.29,106.52,1487760
2026-04-12,106.96,108.07,105.59,106.84,1489656
2026-04-13,107.29,108.79,105.91,106.76,1506964
2026-04-14,107.20,108.44,105.55,106.74,1523939
2026-04-15,107.16,108.37,105.88,107.34,1540360
2026-04-16,107.72,109.65,106.80,108.17,1556013
2026-04-17,108.49,109.89,107.35,108.58,1570698
2026-04-18,108.83,110.21,107.54,109.28,1584231
2026-04-19,109.46,113.66,108.47,112.21,1976443
2026-04-20,112.30,116.25,111.21,114.88,1987187
2026-04-21,114.87,118.05,113.57,117.22,1996340
2026-04-22,117.13,121.43,116.08,120.02,2003802
2026-04-23,119.84,124.53,118.81,123.10,2009501
2026-04-24,122.85,126.57,121.55,125.71,2013391
2026-04-25,125.38,129.52,124.27,128.17,2015456
2026-04-26,127.79,132.60,126.83,131.14,2015707
2026-04-27,130.72,135.03,129.43,134.07,2014183
2026-04-28,133.62,137.72,132.46,136.43,2010952
2026-04-29,135.98,140.36,135.09,138.87,2006109
2026-04-30,138.44,141.09,137.17,140.03,1619772
2026-05-01,139.62,142.05,138.41,140.85,1612084
2026-05-02,140.48,142.65,139.66,141.15,1603209
2026-05-03,140.85,142.88,139.62,141.73,1593328
2026-05-04,141.50,143.65,140.26,142.53,1582641
2026-05-05,142.38,144.26,141.53,142.77,1571357
2026-05-06,142.71,143.94,141.49,142.68,1559696
2026-05-07,142.71,144.03,141.44,143.00,1557717
2026-05-08,143.11,144.75,142.20,143.27,1575053
2026-05-09,143.48,144.78,141.77,142.92,1592085
2026-05-10,143.19,144.13,141.22,142.51,1608591
2026-05-11,142.85,144.30,141.53,142.52,1624358
2026-05-12,142.91,144.28,141.15,142.24,1639183
2026-05-13,142.67,143.51,140.12,141.42,1652879
2026-05-14,141.87,143.27,139.78,140.83,1665275
2026-05-15,141.28,142.70,139.53,140.56,1676222
2026-05-16,140.99,141.86,138.54,139.84,1685592
2026-05-17,140.23,141.59,137.69,138.80,1693284
2026-05-18,139.14,140.60,137.25,138.21,1699220
2026-05-19,138.49,139.45,136.48,137.77,1703352
2026-05-20,137.98,139.26,135.66,136.81,1705659
2026-05-21,136.94,138.42,134.96,135.86,1706148
2026-05-22,135.89,136.94,134.19,135.45,1704857
2026-05-23,135.39,136.61,133.77,134.98,1701848
2026-05-24,134.83,136.33,133.24,134.07,1697212
2026-05-25,133.84,134.99,132.23,133.47,1691066
2026-05-26,133.17,134.51,131.93,133.38,1683548
2026-05-27,133.02,134.52,132.18,133.03,1674820
2026-05-28,132.62,133.85,131.23,132.43,1665062
2026-05-29,131.99,133.41,130.72,132.37,1654470
2026-05-30,131.92,134.14,131.01,132.66,1643253
